title,rating,number_of_reviews,bought_in_last_month,current/discounted_price,price_on_variant,listed_price,is_best_seller,is_sponsored,is_couponed,delivery_details,sustainability_badges,collected_at,coupon_amount,delivery_cost,est_delivery_date,is_free_delivery,has_fast_delivery,fastest_delivery_date,delivery_weekday,main_sustainability_badge,extra_badges_count
"Amazon Basics 48-Pack AA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life",4.7,865598,100000,14.99,0.0,0.0,True,False,No Coupon,"Delivery Fri, Aug 29",Safer chemicals +1 more,2025-08-21 11:14:29,0,0.0,2025-08-29,False,False,,Fri,Safer chemicals,1
"Apple 2025 MacBook Air 13-inch Laptop with M4 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, 12MP Center Stage Camera, Touch ID; Midnight",4.8,1914,10000,,880.95,0.0,True,False,No Coupon,,Energy efficiency,2025-08-21 11:14:29,0,0.0,,False,False,,,Energy efficiency,0
Transformers TF-T01 True Wireless Earbuds Wireless Bluetooth 5.4 Ear Buds Deep Bass Sound Earbud with Smart Noise Cancelling Mic IPX5 Waterproof in Ear Earphones for Android iOS Blue Optimus Prime,4.2,152,100,29.99,0.0,0.0,False,True,No Coupon,"Delivery Mon, Sep 1",None,2025-08-21 11:14:29,0,0.0,2025-09-01,False,False,,Mon,None,0
Seagate IronWolf 12TB NAS Internal Hard Drive HDD – CMR 3.5 Inch SATA 6Gb/s 7200 RPM 256MB Cache for RAID Network Attached Storage (ST12000VNZ008/ST12000VN0008),4.4,12076,1000,249.99,0.0,0.0,False,True,No Coupon,"Delivery Mon, Sep 1",None,2025-08-21 11:14:29,0,0.0,2025-09-01,False,False,,Mon,None,0
"Peak Design Slide Lite Camera Strap, Black, Configurable as a Sling, Neck or Shoulder Strap, Quick Release and Connection, Smooth and Grippy Side, Camera Straps for Photographers, 200 lb Capacity",4.7,7235,500,69.95,0.0,0.0,False,True,No Coupon,"Delivery Fri, Aug 29",Small Business,2025-08-21 11:14:29,0,0.0,2025-08-29,False,False,,Fri,Small Business,0
"Texas Instruments TI-30XIIS Scientific Calculator, Black with Blue Accents",4.7,48468,100000,,17.45,0.0,True,False,No Coupon,,None,2025-08-21 11:14:29,0,0.0,,False,False,,,None,0
"Amazon Basics Multipurpose Copy Printer Paper, 20 lb, 8.5 x 11 Inches, 8 Reams (4,000 Sheets), 92 Bright, White",4.8,198512,80000,39.97,38.86,0.0,True,False,No Coupon,Delivery Sep 1 - 11,1 sustainability certification,2025-08-21 11:14:29,0,0.0,2025-09-01,False,False,,,1 sustainability certification,0
"Amazon Basics AAA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life, 36 Count (Pack of 1)",4.7,625776,100000,14.49,0.0,0.0,True,False,No Coupon,"Delivery Fri, Aug 29",Safer chemicals +1 more,2025-08-21 11:14:29,0,0.0,2025-08-29,False,False,,Fri,Safer chemicals,1
"Amazon Basics Clear Thermal Laminating Plastic Paper Laminator Sheets, 9 x 11.5-Inch, 200-Pack, 3mil",4.8,88965,100000,16.98,13.88,0.0,True,False,No Coupon,"Delivery Fri, Aug 29",None,2025-08-21 11:14:29,0,0.0,2025-08-29,False,False,,Fri,None,0
"Roku Streaming Stick HD 2025 — HD Streaming Device for TV with Roku Voice Remote, Free & Live TV",4.6,1909,10000,,33.51,0.0,False,False,No Coupon,,Works with Alexa,2025-08-21 11:14:29,0,0.0,,False,False,,,Works with Alexa,0
"Energizer AA Batteries Alkaline Power, 32 Count Alkaline Double A Battery Pack",4.8,61157,100000,16.95,16.78,19.98,False,False,No Coupon,"Delivery Fri, Aug 29",None,2025-08-21 11:14:29,0,0.0,2025-08-29,False,False,,Fri,None,0
"Apple Watch SE (2nd Gen) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Band S/M. Fitness and Sleep Trackers, Crash Detection, Heart Rate Monitor, Retina Display",4.6,12840,10000,,146.14,0.0,False,False,No Coupon,,None,2025-08-21 11:14:29,0,0.0,,False,False,,,None,0
"Amazon Basics Wood-Cased #2 Pencils, Pre-sharpened, HB Lead Bulk Box, 150 Count, Yellow",4.8,54244,100000,9.89,8.87,14.33,False,False,No Coupon,"Delivery Fri, Aug 29",None,2025-08-21 11:14:29,0,0.0,2025-08-29,False,False,,Fri,None,0
"Apple EarPods Headphones with USB-C Plug, Wired Ear Buds with Built-in Remote to Control Music, Phone Calls, and Volume",4.6,15087,10000,,16.1,0.0,False,False,No Coupon,,None,2025-08-21 11:14:29,0,0.0,,False,False,,,None,0
"Duracell 2032 Lithium Battery. 4 Count Pack. Child Safety Features. Compatible with Apple AirTag, Key Fob, and other devices. CR2032 3V Cell. 2032 Battery, Lithium Coin",4.7,84821,100000,,0.0,0.0,True,False,No Coupon,,None,2025-08-21 11:14:29,0,0.0,,False,False,,,None,0
"Energizer Alkaline Power AAA Batteries, 32 Count, Long-Lasting Triple A Batteries, Suitable for Everyday Electronics and Emergency Gear",4.8,43002,70000,15.15,14.77,17.99,False,False,No Coupon,"Delivery Fri, Aug 29",None,2025-08-21 11:14:29,0,0.0,2025-08-29,False,False,,Fri,None,0
"Duracell Coppertop AA Batteries with Power Boost Ingredients, 24 Count Pack Double A Battery with Long-lasting Power, Alkaline AA Battery for Household and Office Devices",4.8,125404,80000,18.79,0.0,21.89,False,False,No Coupon,"Delivery Fri, Aug 29",None,2025-08-21 11:14:29,0,0.0,2025-08-29,False,False,,Fri,None,0
"Sony ZX Series Wired On-Ear Headphones, Black MDR-ZX110",4.5,108926,10000,,9.54,0.0,True,False,No Coupon,,None,2025-08-21 11:14:29,0,0.0,,False,False,,,None,0
"HP 67 Black/Tri-color Ink Cartridges for HP Printers | Works with Printer Series: DeskJet 1255, 2700, 4100; ENVY 6000, 6400 | Eligible for Instant Ink | 3YP29AN",4.6,59092,50000,,43.89,0.0,False,False,No Coupon,,None,2025-08-21 11:14:29,0,0.0,,False,False,,,None,0
"HP 67XL Black High-yield Ink Cartridge | Works with HP DeskJet 1255, 2700, 4100 Series, HP ENVY 6000, 6400 Series | Eligible for Instant Ink | One Size | 3YM57AN",4.6,101072,50000,,35.89,0.0,True,False,No Coupon,,Manufacturing practices,2025-08-21 11:14:29,0,0.0,,False,False,,,Manufacturing practices,0
"Razer Seiren V3 Chroma RGB USB Microphone: Stream & Game Reactive Lighting - Tap-to-Mute Sensor - Condenser Mic - Digital Gain Limiter & Shock Absorber - PC, Discord, OBS Studio, XSplit - Quartz Pink",4.5,171,0,134.39,0.0,0.0,False,True,No Coupon,"Delivery Mon, Sep 1",Manufacturing practices,2025-08-21 11:14:29,0,0.0,2025-09-01,False,False,,Mon,Manufacturing practices,0
OWC 250GB Aura Pro 6G Flash SSD Upgrade for 2012 MacBook Air,4.6,276,0,42.99,0.0,0.0,False,True,No Coupon,"Delivery Mon, Sep 1",None,2025-08-21 11:14:29,0,0.0,2025-09-01,False,False,,Mon,None,0
"OWC 2.0TB Aura Pro X2 (GEN 4) SSD Complete Upgrade Solution Compatible with Mac Pro (Late 2013), High Performance NVMe Flash Upgrade, Including Tools, heatsink, and Envoy Pro Enclosure",4.4,358,0,239.99,0.0,0.0,False,True,No Coupon,"Delivery Mon, Sep 1",None,2025-08-21 11:14:29,0,0.0,2025-09-01,False,False,,Mon,None,0
Texas Instruments TI-30XS MultiView Scientific Calculator,4.8,36122,70000,16.99,9.99,20.0,False,False,No Coupon,"Delivery Fri, Aug 29",None,2025-08-21 11:14:46,0,0.0,2025-08-29,False,False,,Fri,None,0
"Amazon Basics Micro SDXC Memory Card with Full Size Adapter, A2, U3, Read Speed up to 100 MB/s, 128 GB, Black",4.7,123411,10000,11.06,10.12,0.0,True,False,No Coupon,"Delivery Fri, Aug 29",None,2025-08-21 11:14:46,0,0.0,2025-08-29,False,False,,Fri,None,0
"Mounting Dream TV Wall Mount for 32-65 Inch Television,Mount with Swivel and Tilt, Full Motion Bracket with Articulating Dual Arms, Fits 16inch Studs, Max VESA 400X400 mm, 99lbs, MD2380",4.8,44109,10000,39.97,0.0,48.99,True,False,No Coupon,"Delivery Fri, Aug 29",None,2025-08-21 11:14:46,0,0.0,2025-08-29,False,False,,Fri,None,0
"Energizer Ultimate Lithium AA Batteries Pack, 1.5V AA Batteries, 24 Count",4.7,32810,40000,,0.0,0.0,False,False,No Coupon,,None,2025-08-21 11:14:46,0,0.0,,False,False,,,None,0
"Scotch Heavy Duty Shipping and Moving Packing Tape, Clear, Packing and Moving Supplies, 1.88 in. x 22.2 yd., 6 Tape Rolls with Dispensers",4.8,103375,10000,13.86,13.78,19.99,True,False,No Coupon,"Delivery Fri, Aug 29",None,2025-08-21 11:14:46,0,0.0,2025-08-29,False,False,,Fri,None,0
"JBL Vibe Beam - True Wireless JBL Deep Bass Sound Earbuds, Bluetooth 5.2, Water & Dust Resistant, Hands-free call with VoiceAware, Up to 32 hours of battery life (Black)",4.3,26559,10000,,29.95,0.0,False,False,No Coupon,,None,2025-08-21 11:14:46,0,0.0,,False,False,,,None,0
"Apple Pencil Pro: Latest Model - Device Compatibility Check Required - Pixel-Perfect Precision, Tilt and Pressure Sensitivity, Perfect for Note-Taking, Drawing, and Art. Charges and Pairs Magnetically",4.6,4676,10000,,148.0,0.0,False,False,No Coupon,,None,2025-08-21 11:14:46,0,0.0,,False,False,,,None,0
"Energizer AA and AAA Batteries, 48 Count, Combo Pack Contains 24 Max Double A and 24 Max Triple A Batteries",4.8,70083,40000,23.1,0.0,38.98,False,False,No Coupon,"Delivery Fri, Aug 29",None,2025-08-21 11:14:46,0,0.0,2025-08-29,False,False,,Fri,None,0
"Amazon Basics File Folders with Tabs for Filing, 1/3-Cut Tab, Assorted Positions, 8.5x11 inches, Letter Size, Manila, Pack of 100",4.8,53340,70000,11.1,10.77,14.39,True,False,No Coupon,"Delivery Mon, Sep 1",None,2025-08-21 11:14:46,0,0.0,2025-09-01,False,False,,Mon,None,0
"Duracell Coppertop AAA Batteries with Power Boost Ingredients, 24 Count Pack Triple A Battery with Long-Lasting Power, Alkaline AAA Battery for Household and Office Devices",4.8,67965,60000,20.39,0.0,21.89,False,False,No Coupon,"Delivery Fri, Aug 29",None,2025-08-21 11:14:46,0,0.0,2025-08-29,False,False,,Fri,None,0
"HP OfficeJet Pro 8125e Wireless All-in-One Color Inkjet Printer, Print, scan, Copy, ADF, Duplex Printing, Home & Office, 3 Months of Instant Ink Included (405T6A)",4.1,450,20000,119.99,0.0,169.99,False,False,No Coupon,"Delivery Mon, Sep 1",None,2025-08-21 11:14:46,0,0.0,2025-09-01,False,False,,Mon,None,0
"Scotch Thermal Laminating Pouches, for Use with Thermal Laminators, 8.9 x 11.4 Inches, Letter Size Sheets, 100-Pack",4.9,72360,70000,11.99,0.0,19.99,False,False,No Coupon,"Delivery Mon, Sep 1",None,2025-08-21 11:14:46,0,0.0,2025-09-01,False,False,,Mon,None,0
"TP-Link AC1200 WiFi Extender, 2025 Wirecutter Best WiFi Extender, 1.2Gbps Home Signal Booster, Dual Band 5GHz/2.4GHz, Up to 1600 Sq.ft and 32 Devices, EasyMesh Compatible, One Ethernet Port (RE315)",4.2,33507,10000,19.99,15.99,29.99,True,False,No Coupon,"Delivery Fri, Aug 29",None,2025-08-21 11:14:46,0,0.0,2025-08-29,False,False,,Fri,None,0
"Samsung Galaxy Tab A9+ Tablet 11” 64GB Android Tablet, Big Screen, Quad Speakers, Upgraded Chipset, Multi Window Display, Slim, Light, Durable Design, US Version, 2024, Graphite",4.4,15848,10000,159.0,140.69,219.99,False,False,No Coupon,"Delivery Fri, Aug 29",None,2025-08-21 11:14:46,0,0.0,2025-08-29,False,False,,Fri,None,0
"Apple Watch Series 10 [GPS 42mm case] Smartwatch with Rose Gold Aluminium Case with Light Blush Sport Band - S/M. Fitness Tracker, ECG App, Always-On Retina Display, Water Resistant",4.7,11785,10000,,280.12,0.0,True,False,No Coupon,,None,2025-08-21 11:14:46,0,0.0,,False,False,,,None,0
Sharpie Permanent Markers Bulk Set Fine Tip Markers Set For Plastic Metal Wood And More Black 36 Count,4.8,10981,50000,17.97,14.22,0.0,False,False,No Coupon,"Delivery Fri, Aug 29",None,2025-08-21 11:14:46,0,0.0,2025-08-29,False,False,,Fri,None,0
Texas Instruments TI-30Xa Scientific Calculator,4.7,17495,60000,10.82,5.82,15.0,False,False,No Coupon,"Delivery Fri, Aug 29",None,2025-08-21 11:14:46,0,0.0,2025-08-29,False,False,,Fri,None,0
"SanDisk 128GB Extreme PRO SDXC UHS-I Memory Card - C10, U3, V30, 4K UHD, SD Card - SDSDXXD-128G-GN4IN",4.8,72492,10000,21.99,15.03,24.99,True,False,No Coupon,"Delivery Fri, Aug 29",None,2025-08-21 11:14:47,0,0.0,2025-08-29,False,False,,Fri,None,0
"Duracell Coppertop AA Batteries with Power Boost Ingredients, 28 Count (Pack of 1) Long-lasting Alkaline Double AA Battery in Re-closable Pack for Quick Access and Organized Storage",4.8,16952,50000,25.66,20.85,0.0,False,False,No Coupon,"Delivery Fri, Aug 29",None,2025-08-21 11:14:47,0,0.0,2025-08-29,False,False,,Fri,None,0
"Beats Solo 4 - Wireless Bluetooth On-Ear Headphones, Apple & Android Compatible, Up to 50 Hours of Battery Life - Cloud Pink",4.6,16222,10000,,127.49,0.0,False,False,No Coupon,,None,2025-08-21 11:14:47,0,0.0,,False,False,,,None,0
"AMD RYZEN 7 9800X3D 8-Core, 16-Thread Desktop Processor",4.8,2377,10000,476.5,0.0,0.0,True,False,No Coupon,"Delivery Fri, Aug 29",None,2025-08-21 11:14:47,0,0.0,2025-08-29,False,False,,Fri,None,0
"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",4.6,262557,10000,79.99,52.86,0.0,True,False,No Coupon,"Delivery Fri, Aug 29",None,2025-08-21 11:14:47,0,0.0,2025-08-29,False,False,,Fri,None,0
"Apple Pencil (USB-C): Device Compatibility Check Required - Pixel-Perfect Precision, Tilt Sensitivity, Perfect for Note-Taking, Drawing, and Signing Documents. Charges and Pairs with USB-C",4.6,6133,10000,,97.49,0.0,False,False,No Coupon,,None,2025-08-21 11:14:47,0,0.0,,False,False,,,None,0
"HP 910 Cyan, Magenta, Yellow Ink Cartridges | Works with HP OfficeJet 8010, 8020 Series, HP OfficeJet Pro 8020, 8030 Series | Eligible for Instant Ink | 3YN97AN, 3 Count (Pack of 1)",4.6,18532,30000,,47.89,0.0,False,False,No Coupon,,None,2025-08-21 11:14:47,0,0.0,,False,False,,,None,0
"KODAK 10.1 Inch WiFi Digital Picture Frame,1280x800 HD IPS Touch Screen, Electronic Smart Photo Frame with 32 GB Memory, Auto-Rotate, Instantly Share Photos/Videos Anywhere",4.1,264,0,85.99,0.0,0.0,False,True,Save $16.00  with coupon,"Delivery Mon, Sep 1",None,2025-08-21 11:15:00,$16.00,0.0,2025-09-01,False,False,,Mon,None,0
"PHILIPS TAT1108 Wireless Earbuds,True Wireless Headphones,Powerful Bass with 6 mm Driver,Clear Call with AI Mic,15-Hour Battery Life,Bluetooth v5.3,IPX4 Rating,Ergonomic Design for Comfort,Black",3.9,6335,500,29.99,0.0,32.72,False,True,Save $10.00  with coupon,"Delivery Fri, Aug 29",None,2025-08-21 11:15:00,$10.00,0.0,2025-08-29,False,False,,Fri,None,0
"Sanus Height Adjustable Speaker Stand for Sonos Era 300™ - 17"" Height Adjustment Sonos Stand Includes Carpet Spikes & Rubber Pads - Easy DIY Install Comes w/All Hardware - White",4.4,45,0,179.99,0.0,0.0,False,True,No Coupon,"Delivery Mon, Sep 1",None,2025-08-21 11:15:00,0,0.0,2025-09-01,False,False,,Mon,None,0
"HP 910XL Black High-yield Ink Cartridge for HP Printers | Works with Printer Series: OfficeJet 8010, 8020; OfficeJet Pro 8020, 8030 | Eligible for Instant Ink | 3YL65AN",4.6,24117,20000,52.89,0.0,71.87,False,False,No Coupon,"Delivery Mon, Sep 1",None,2025-08-21 11:15:00,0,0.0,2025-09-01,False,False,,Mon,None,0
"Apple iPad Air 11-inch with M3 chip Built for Apple Intelligence, Liquid Retina Display, 128GB, 12MP Front/Back Camera, Wi-Fi 6E, Touch ID, All-Day Battery Life — Space Gray",4.8,1553,6000,,514.28,0.0,False,False,No Coupon,,Energy efficiency,2025-08-21 11:15:00,0,0.0,,False,False,,,Energy efficiency,0
"Amazon Basics 8-Pack 9V Alkaline Batteries, 5-Year Shelf Life - for Smoke/CO Detector, Electronics & Audio",4.7,231583,60000,12.69,0.0,0.0,True,False,No Coupon,"Delivery Fri, Aug 29",Safer chemicals +1 more,2025-08-21 11:15:00,0,0.0,2025-08-29,False,False,,Fri,Safer chemicals,1
"VIZIO 40-inch Full HD 1080p Smart TV with DTS Virtual: X, Alexa Compatibility, Google Cast Built-in, Bluetooth Headphone Capable, (VFD40M-08 New)",4.1,4856,10000,138.0,131.1,169.99,True,False,No Coupon,"Delivery Mon, Sep 1",None,2025-08-21 11:15:00,0,0.0,2025-09-01,False,False,,Mon,None,0
"HP Original 910 Cyan, Magenta, Yellow / 910XL Black Ink Cartridges (4-Pack) | Works OfficeJet 8010, 8020 Series OfficeJet Pro 8020, 8030 Series | Eligible for Instant Ink | 3JB41AN",4.6,6931,20000,106.89,0.0,0.0,False,False,No Coupon,"Delivery Fri, Aug 29",None,2025-08-21 11:15:00,0,0.0,2025-08-29,False,False,,Fri,None,0
"Aquaphor Baby Healing Ointment Advanced Therapy Skin Protectant for Chapped or Dry Skin, Drool Rash and Diaper Rash Ointment, 14 Oz Jar",4.8,54759,40000,,17.99,0.0,False,False,No Coupon,,None,2025-08-21 11:15:00,0,0.0,,False,False,,,None,0
"Logitech Brio 101 Full HD 1080p Webcam for Meetings, Streaming, Desktop, Laptop, PC - Built-in Mic, Shutter, USB-A, Teams, Zoom - Black",4.4,24693,10000,39.59,25.48,0.0,True,False,No Coupon,"Delivery Fri, Aug 29",Carbon impact,2025-08-21 11:15:00,0,0.0,2025-08-29,False,False,,Fri,Carbon impact,0
"Apple 2024 MacBook Pro Laptop with M4 Pro, 12-core CPU, 16-core GPU: Built for Apple Intelligence, 14.2-inch Liquid Retina XDR Display, 24GB Unified Memory, 512GB SSD Storage; Space Black",4.8,1212,2000,,1.0,0.0,False,False,No Coupon,,Energy efficiency,2025-08-21 11:15:00,0,0.0,,False,False,,,Energy efficiency,0
Roku Streaming Stick Plus 2025 - 4K & HDR Roku Streaming Device for TV with Voice Remote - Free & Live TV,4.5,744,10000,,44.99,0.0,False,False,No Coupon,,Works with Alexa,2025-08-21 11:15:00,0,0.0,,False,False,,,Works with Alexa,0
Meta Quest 3 512GB | Thirty Percent Sharper Resolution — 2X Graphical Processing Power — Play Without Wires — Get Batman: Arkham Shadow and a 3-Month Trial of Meta Horizon+ Included,4.5,3316,9000,,485.05,0.0,True,False,No Coupon,,None,2025-08-21 11:15:00,0,0.0,,False,False,,,None,0
"Original HP 962 Cyan, Magenta, Yellow / 962XL Black Ink Cartridges (4-Pack) | Works with HP OfficeJet 9010 Series, HP OfficeJet Pro 9010, 9020 Series",4.6,6350,10000,154.89,0.0,0.0,False,False,No Coupon,"Delivery Fri, Aug 29",None,2025-08-21 11:15:00,0,0.0,2025-08-29,False,False,,Fri,None,0
"Anker iPhone 16 Charger, 2-Pack 20W Fast USB C Charger Block, for iPhone 16/16 Pro Max/15 Series/iPad Pro and More (Black, 2 Pack & 2 Cable)",4.6,19724,10000,11.89,0.0,18.99,False,False,No Coupon,Delivery Sep 4 - 9,Carbon impact,2025-08-21 11:15:00,0,0.0,2025-09-04,False,False,,,Carbon impact,0
"Peak Design Slide Lite Camera Strap, Black, Configurable as a Sling, Neck or Shoulder Strap, Quick Release and Connection, Smooth and Grippy Side, Camera Straps for Photographers, 200 lb Capacity",4.7,7235,500,69.95,0.0,0.0,False,True,No Coupon,"Delivery Fri, Aug 29",Small Business,2025-08-21 11:15:00,0,0.0,2025-08-29,False,False,,Fri,Small Business,0
"Razer Seiren V3 Chroma RGB USB Microphone: Stream & Game Reactive Lighting - Tap-to-Mute Sensor - Condenser Mic - Digital Gain Limiter & Shock Absorber - PC, Discord, OBS Studio, XSplit - Quartz Pink",4.5,171,0,134.39,0.0,0.0,False,True,No Coupon,"Delivery Mon, Sep 1",Manufacturing practices,2025-08-21 11:15:00,0,0.0,2025-09-01,False,False,,Mon,Manufacturing practices,0
Escort MAX 360c Radar Detector with Extra Mount & OBDII Cord Bundle,4.4,1465,50,569.95,0.0,0.0,False,True,No Coupon,"Delivery Mon, Sep 1",None,2025-08-21 11:15:00,0,0.0,2025-09-01,False,False,,Mon,None,0
"HP Printer Paper | 8.5 x 11 Paper | Office 20 lb | 3 Ream Case - 1500 Sheets | 92 Bright | Made in USA - FSC Certified | 112090C, White",4.8,48326,40000,19.99,18.77,21.44,False,False,No Coupon,"Delivery Fri, Aug 29",Forestry practices,2025-08-21 11:15:00,0,0.0,2025-08-29,False,False,,Fri,Forestry practices,0
"Amazon Basics 9 inch Thermal Laminator Machine for Documents and Photos, Easy to Use for Home Office or School, White",4.6,2740,40000,20.69,19.39,29.99,True,False,No Coupon,"Delivery Mon, Sep 1",None,2025-08-21 11:15:00,0,0.0,2025-09-01,False,False,,Mon,None,0
"Apple 20W USB-C Compact Power Adapter: Fast and Convenient Charging, Type C Wall Charger",4.8,5591,10000,,13.45,0.0,False,False,No Coupon,,None,2025-08-21 11:15:00,0,0.0,,False,False,,,None,0
"Apple 2024 Mac mini Desktop Computer with M4 chip with 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, 16GB Unified Memory, 256GB SSD Storage, Gigabit Ethernet. Works with iPhone/iPad",4.8,1356,5000,,540.75,0.0,True,False,No Coupon,,Energy efficiency,2025-08-21 11:15:00,0,0.0,,False,False,,,Energy efficiency,0
"Logitech M185 Wireless Mouse, 2.4GHz with USB Mini Receiver, 12-Month Battery Life, 1000 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Swift Grey",4.5,43204,10000,,11.98,0.0,True,False,No Coupon,,Carbon impact,2025-08-21 11:15:00,0,0.0,,False,False,,,Carbon impact,0
"HP 936 Black, Cyan, Magenta, Yellow Ink Cartridges Printers (4-Pack) | Works with OfficeJet 9120, OfficeJet Pro 9110, 9120, 9130, Wide Format 9730 | Eligible for Instant Ink | 6C3Z5LN",4.6,885,10000,135.0,0.0,0.0,False,False,No Coupon,"Delivery Fri, Aug 29",None,2025-08-21 11:15:00,0,0.0,2025-08-29,False,False,,Fri,None,0
"Samsung 990 PRO SSD NVMe M.2 PCIe Gen4, M.2 2280 Internal Solid State Hard Drive, Seq. Read Speeds Up to 7,450 MB/s for High End Computing, Gaming, and Heavy Duty Workstations, MZ-V9P2T0B/AM",4.7,14168,10000,149.99,138.5,199.99,False,False,No Coupon,"Delivery Fri, Aug 29",None,2025-08-21 11:15:00,0,0.0,2025-08-29,False,False,,Fri,None,0
"Fitbit Inspire 3 Health &-Fitness-Tracker with Stress Management, Workout Intensity, Sleep Tracking, 24/7 Heart Rate and more, Midnight Zen/Black One Size (S & L Bands Included)",4.3,20039,10000,79.95,79.13,99.95,True,False,No Coupon,"Delivery Fri, Aug 29",None,2025-08-21 11:15:00,0,0.0,2025-08-29,False,False,,Fri,None,0
"Texas Instruments TI-84 Plus Graphics Calculator, Black 320 x 240 pixels (2.8"" diagonal)",4.7,18748,10000,103.99,53.33,0.0,False,False,No Coupon,"Delivery Fri, Aug 29",None,2025-08-21 11:15:00,0,0.0,2025-08-29,False,False,,Fri,None,0
"HP Original 952 Cyan, Magenta, Yellow / 952XL Black Ink Cartridges (4-Pack) | Works OfficeJet 8702 OfficeJet Pro 7700, 8210, 8700 Series | Eligible for Instant Ink | N9K28AN",4.6,2617,10000,166.62,0.0,0.0,False,False,No Coupon,"Delivery Fri, Aug 29",None,2025-08-21 11:15:00,0,0.0,2025-08-29,False,False,,Fri,None,0
"HP 64 Black & Tri-Color Ink Cartridges for HP Printers (Combo Pack) | Works with Printer Series: Inspire 7950e; ENVY Photo 6200, 7100, 7800; Tango | Eligible for Instant Ink | X4D92AN",4.6,23765,20000,,55.89,0.0,False,False,No Coupon,,Manufacturing practices,2025-08-21 11:15:00,0,0.0,,False,False,,,Manufacturing practices,0
